"my_date","my_value","bullet","bulletClass","label"
"28.03.2023","76.5662","","",""
"31.03.2023","77.0863","","",""
"01.04.2023","77.3233","","",""
"04.04.2023","77.9510","","",""
"05.04.2023","79.3563","","",""
"06.04.2023","79.4961","","",""
"07.04.2023","80.6713","","",""
"08.04.2023","82.3988","","",""
"11.04.2023","81.7441","","",""
"12.04.2023","82.1799","","",""
"13.04.2023","82.0934","","",""
"14.04.2023","81.6758","","",""
"15.04.2023","81.5045","","",""
"18.04.2023","81.6279","","",""
"19.04.2023","81.6028","","",""
"20.04.2023","81.6549","","",""
"21.04.2023","81.6188","","",""
"22.04.2023","81.4863","","",""
"25.04.2023","81.2745","","",""
"26.04.2023","81.5499","","",""
"27.04.2023","81.6274","","",""
"28.04.2023","81.5601","","",""
"29.04.2023","80.5093","","",""
"03.05.2023","79.9609","","",""
"04.05.2023","79.3071","","",""
"05.05.2023","78.6139","","",""
"06.05.2023","76.8207","","",""
"11.05.2023","76.6929","","",""
"12.05.2023","75.8846","round","min-pulsating-bullet","мин"
"13.05.2023","77.2041","","",""
"16.05.2023","79.1004","","",""
"17.05.2023","79.9798","","",""
"18.05.2023","80.7642","","",""
"19.05.2023","80.0366","","",""
"20.05.2023","79.9093","","",""
"23.05.2023","79.9379","","",""
"24.05.2023","80.1665","","",""
"25.05.2023","79.9669","","",""
"26.05.2023","79.9841","","",""
"27.05.2023","79.9667","","",""
"30.05.2023","80.0555","","",""
"31.05.2023","80.6872","","",""
"01.06.2023","80.9942","","",""
"02.06.2023","80.9657","","",""
"03.06.2023","80.8756","","",""
"06.06.2023","81.3294","","",""
"07.06.2023","81.2502","","",""
"08.06.2023","81.4581","","",""
"09.06.2023","82.0930","","",""
"10.06.2023","82.6417","","",""
"14.06.2023","83.6405","","",""
"15.06.2023","84.3249","","",""
"16.06.2023","83.9611","","",""
"17.06.2023","83.6498","","",""
"20.06.2023","83.9866","","",""
"21.06.2023","84.2336","","",""
"22.06.2023","84.2467","","",""
"23.06.2023","83.6077","","",""
"24.06.2023","84.0793","","",""
"27.06.2023","84.6642","","",""
"28.06.2023","85.0504","","",""
"29.06.2023","85.6192","","",""
"30.06.2023","87.0341","","",""
"01.07.2023","88.3844","","",""
"04.07.2023","89.3255","","",""
"05.07.2023","89.5450","","",""
"06.07.2023","90.3380","","",""
"07.07.2023","92.5695","","",""
"08.07.2023","91.6879","","",""
"11.07.2023","91.4931","","",""
"12.07.2023","90.5045","","",""
"13.07.2023","90.6253","","",""
"14.07.2023","90.1757","","",""
"15.07.2023","90.1190","","",""
"18.07.2023","90.4217","","",""
"19.07.2023","90.6906","","",""
"20.07.2023","91.2046","","",""
"21.07.2023","90.8545","","",""
"22.07.2023","90.3846","","",""
"25.07.2023","90.4890","","",""
"26.07.2023","90.0945","","",""
"27.07.2023","90.0468","","",""
"28.07.2023","90.0225","","",""
"29.07.2023","90.9783","","",""
"01.08.2023","91.5923","","",""
"02.08.2023","91.7755","","",""
"03.08.2023","92.8410","","",""
"04.08.2023","93.7792","","",""
"05.08.2023","94.8076","","",""
"08.08.2023","96.5668","","",""
"09.08.2023","96.0755","","",""
"10.08.2023","97.3999","","",""
"11.08.2023","97.2794","","",""
"12.08.2023","98.2066","","",""
"15.08.2023","101.0399","","",""
"16.08.2023","97.4217","","",""
"17.08.2023","96.7045","","",""
"18.08.2023","93.7460","","",""
"19.08.2023","93.4047","","",""
"22.08.2023","94.1424","","",""
"23.08.2023","94.1185","","",""
"24.08.2023","94.4421","","",""
"25.08.2023","94.4007","","",""
"26.08.2023","94.7117","","",""
"29.08.2023","95.4717","","",""
"30.08.2023","95.7070","","",""
"31.08.2023","95.9283","","",""
"01.09.2023","96.3344","","",""
"02.09.2023","96.3411","","",""
"05.09.2023","96.6199","","",""
"06.09.2023","97.5383","","",""
"07.09.2023","97.8439","","",""
"08.09.2023","98.1961","","",""
"09.09.2023","97.9241","","",""
"12.09.2023","96.5083","","",""
"13.09.2023","94.7035","","",""
"14.09.2023","95.9794","","",""
"15.09.2023","96.1609","","",""
"16.09.2023","96.6338","","",""
"19.09.2023","96.6472","","",""
"20.09.2023","96.2236","","",""
"21.09.2023","96.6172","","",""
"22.09.2023","96.0762","","",""
"23.09.2023","96.0419","","",""
"26.09.2023","96.1456","","",""
"27.09.2023","96.2378","","",""
"28.09.2023","96.5000","","",""
"29.09.2023","97.0018","","",""
"30.09.2023","97.4147","","",""
"03.10.2023","98.4785","","",""
"04.10.2023","99.2677","","",""
"05.10.2023","99.4555","","",""
"06.10.2023","99.6762","","",""
"07.10.2023","100.4911","","",""
"10.10.2023","101.3598","round","max-pulsating-bullet","макс"
"11.10.2023","99.9349","","",""
"12.10.2023","99.9808","","",""
"13.10.2023","96.9948","","",""
"14.10.2023","97.3075","","",""
"17.10.2023","97.2865","","",""
"18.10.2023","97.3458","","",""
"19.10.2023","97.3724","","",""
"20.10.2023","97.3074","","",""
"21.10.2023","95.9053","","",""
"24.10.2023","94.7081","","",""
"25.10.2023","93.5224","","",""
"26.10.2023","93.1507","","",""
"27.10.2023","93.5616","","",""
"28.10.2023","93.2174","","",""
"31.10.2023","93.2435","","",""
"01.11.2023","92.0226","","",""
"02.11.2023","93.2801","","",""
"03.11.2023","93.1730","","",""
"04.11.2023","93.0351","","",""
"08.11.2023","92.4151","","",""
"09.11.2023","92.1973","","",""
"10.11.2023","91.9266","","",""
"11.11.2023","92.0535","","",""
"14.11.2023","92.1185","","",""
"15.11.2023","91.2570","","",""
"16.11.2023","89.4565","","",""
"17.11.2023","88.9466","","",""
"18.11.2023","89.1237","","",""
"21.11.2023","88.4954","","",""
"22.11.2023","87.8701","","",""
"23.11.2023","88.1648","","",""
"24.11.2023","88.1206","","",""
"25.11.2023","88.8133","","",""
"28.11.2023","88.7045","","",""
"29.11.2023","88.6102","","",""
"30.11.2023","88.8841","","",""
"01.12.2023","88.5819","","",""
"02.12.2023","89.7619","","",""
"05.12.2023","90.6728","","",""
"06.12.2023","91.5823","","",""
"07.12.2023","92.7826","","",""
"08.12.2023","92.5654","","",""
"09.12.2023","91.6402","","",""
"12.12.2023","90.9846","","",""
"13.12.2023","90.2158","","",""
"14.12.2023","89.8926","","",""
"15.12.2023","89.6741","","",""
"16.12.2023","89.6966","","",""
"19.12.2023","90.4162","","",""
"20.12.2023","90.0870","","",""
"21.12.2023","90.4056","","",""
"22.12.2023","91.7062","","",""
"23.12.2023","91.9389","","",""
"26.12.2023","91.9690","","",""
"27.12.2023","91.7069","","",""
"28.12.2023","91.7051","","",""
"29.12.2023","90.3041","","",""
"30.12.2023","89.6883","","",""
"10.01.2024","90.4040","","",""
"11.01.2024","89.3939","","",""
"12.01.2024","88.7818","","",""
"13.01.2024","88.1324","","",""
"16.01.2024","87.6772","","",""
"17.01.2024","87.6457","","",""
"18.01.2024","88.3540","","",""
"19.01.2024","88.6610","","",""
"20.01.2024","88.5896","","",""
"23.01.2024","87.9724","","",""
"24.01.2024","87.9199","","",""
"25.01.2024","88.2829","","",""
"26.01.2024","88.6562","","",""
"27.01.2024","89.5159","","",""
"30.01.2024","89.6090","","",""
"31.01.2024","89.2887","","",""
"01.02.2024","89.6678","","",""
"02.02.2024","90.2299","","",""
"03.02.2024","90.6626","","",""
"06.02.2024","91.2434","","",""
"07.02.2024","90.6842","","",""
"08.02.2024","91.1514","","",""
"09.02.2024","91.2561","","",""
"10.02.2024","90.8901","","",""
"13.02.2024","91.0758","","",""
"14.02.2024","91.2057","","",""
"15.02.2024","91.4316","","",""
"16.02.2024","91.8237","","",""
"17.02.2024","92.5492","","",""
"20.02.2024","92.4102","","",""
"21.02.2024","92.3490","","",""
"22.02.2024","92.4387","","",""
"23.02.2024","92.7519","","",""
"27.02.2024","92.6321","","",""
"28.02.2024","92.0425","","",""
"29.02.2024","91.8692","","",""
"01.03.2024","90.8423","","",""
"02.03.2024","91.3336","","",""
"05.03.2024","91.3534","","",""
"06.03.2024","91.1604","","",""
"07.03.2024","90.3412","","",""
"08.03.2024","90.7493","","",""
"12.03.2024","90.6252","","",""
"13.03.2024","90.8818","","",""
"19.03.2024","91.9829","","",""
"20.03.2024","92.2243","","",""
"21.03.2024","92.6861","","",""
"22.03.2024","91.9499","","",""
"23.03.2024","92.6118","","",""
"26.03.2024","92.7761","","",""
