seller_id,seller_zip_code_prefix,seller_city,seller_state
669ae81880e08f269a64487cfb287169,89160,rio do sul,SC
817245bcc3badd82bbd222e0366951a6,17056,bauru,SP
7d13fca15225358621be4086e1eb0964,14050,ribeirao preto,SP
a3a38f4affed601eb87a97788c949667,89204,joinville,SC
744dac408745240a2c2528fb1b6028f3,83408,colombo,PR
8b321bb669392f5163d04c59e235e066,1212,sao paulo,SP
76d64c4aca3a7baf218bf93ef7fa768d,80215,curitiba,PR
537eb890efff034a88679788b647c564,20270,rio de janeiro,RJ
955fee9216a65b617aa5c0531780ce60,4782,sao paulo,SP
ba5daa4041e1f15cdf34b76e3e18a450,4363,sao paulo,SP
d3f39f05462b79a4562d35893a28f159,13730,mococa,SP
d1ef48b38baca7e831711c4a0aeb398f,86800,apucarana,PR
f7ba60f8c3f99e7ee4042fdef03b70c4,9628,sao bernardo do campo,SP
f84a00e60c73a49e7e851c9bdca3a5bb,20756,rio de janeiro,RJ
e5a38146df062edaf55c38afa99e42dc,1233,sao paulo,SP
ef0ace09169ac090589d85746e3e036f,24451,sao goncalo,RJ
87142160b41353c4e5fca2360caf6f92,90230,porto alegre,RS
289cdb325fb7e7f891c38608bf9e0962,31570,belo horizonte,SP
3504c0cb71d7fa48d967e0e4c94d59d9,9350,maua,SP
23613d49c3ac2bd302259e55c06c050c,13660,porto ferreira,SP
391fc6631aebcf3004804e51b40bcf1e,14940,ibitinga,SP
33cbbec1e7e1044aaf11d152172c776f,95705,bento goncalves,RS
e9779976487b77c6d4ac45f75ec7afe9,11701,praia grande,SP
db4350fd57ae30082dec7acbaacc17f9,3126,sao paulo,SP
70125af26c2d6d4ef401a1d02ae7701f,74435,goiania,GO
6560211a19b47992c3666cc44a7e94c0,5849,sao paulo,SP
0b90b6df587eb83608a64ea8b390cf07,87025,maringa,PR
55c26bcb609f480eb7868594245febb5,14910,tabatinga,SP
6df688df543f90e9b38f4319e75a9d88,31230,belo horizonte,MG
d673a59aac7a70d8b01e6902bf090a11,14940,ibitinga,SP
f52c2422904463fdd7741f99045fecb6,9230,santo andre/sao paulo,SP
ea8482cd71df3c1969d7b9473ff13abc,4160,sao paulo,SP
5b925e1d006e9476d738aa200751b73b,4567,sao paulo,SP
fe2032dab1a61af8794248c8196565c9,13030,campinas,SP
2a84855fd20af891be03bc5924d2b453,30111,belo horizonte,MG
c4af86330efa7a2620772227d2d670c9,8840,mogi das cruzes,SP
001cca7ae9ae17fb1caed9dfb1094831,29156,cariacica,ES
d91fb3b7d041e83b64a00a3edfb37e4f,11704,praia grande,SP
e70053bf73d1b5863932e53a9fa47496,5059,sao paulo,SP
7c67e1448b00f6e969d365cea6b010ab,8577,itaquaquecetuba,SP
980640c45d7a4635885491d077167e4d,13501,rio claro,SP
d2374cbcbb3ca4ab1086534108cc3ab7,14940,ibitinga,SP
0bae85eb84b9fb3bd773911e89288d54,88301,itajai,SP
6860153b69cc696d5dcfe1cdaaafcf62,13360,capivari,SP
76d5af76d0271110f9af36c92573f765,3194,sao paulo,SP
cc419e0650a3c5ba77189a1882b7556a,9015,santo andre,SP
977f9f63dd360c2a32ece2f93ad6d306,14910,tabatinga,SP
2c9e548be18521d1c43cde1c582c6de8,8752,mogi das cruzes,SP
855668e0971d4dfd7bef1b6a4133b41b,13257,itatiba,SP
77530e9772f57a62c906e1c21538ab82,80310,curitiba,PR
f7720c4fa8e3aba4546301ab80ea1f1b,81350,curitiba,PR
8581055ce74af1daba164fdbd55a40de,7112,guarulhos,SP
c8417879a15366a17c30af34c798c332,4445,sao paulo,SP
16090f2ca825584b5a147ab24aa30c86,12940,atibaia,SP
4c8b8048e33af2bf94f2eb547746a916,14940,ibitinga,SP
00fc707aaaad2d31347cf883cd2dfe10,87025,maringa,PR
562fc2f2c2863ab7e79a9e4388a58a14,13070,campinas,SP
85d9eb9ddc5d00ca9336a2219c97bb13,31255,belo horizonte,MG
a673821011d0cec28146ea42f5ab767f,3809,sao paulo,SP
dc4a0fc896dc34b0d5bfec8438291c80,14940,ibitinga,SP
a6fe7de3d16f6149ffe280349a8535a0,14401,franca,SP
f5f46307a4d15880ca14fab4ad9dfc9b,89165,rio do sul,SC
fcdd820084f17e9982427971e4e9d47f,14075,ribeirao preto,SP
36890be00bbfc1cdb9a4a38a6af05a69,6040,osasco,SP
f27e33c6d29b5138fa9967bcd445b6d5,4273,sao paulo,SP
c0563dd588b775f2e37747ef6ad6c92c,9220,santo andre,SP
633ecdf879b94b5337cca303328e4a25,4438,sao paulo,SP
80e6699fe29150b372a0c8a1ebf7dcc8,83323,pinhais,PR
5656537e588803a555b8eb41f07a944b,72015,brasilia,DF
5dceca129747e92ff8ef7a997dc4f8ca,13450,santa barbara dÂ´oeste,SP
dc8798cbf453b7e0f98745e396cc5616,5455,sao paulo,SP
4a3ca9315b744ce9f8e9374361493884,14940,ibitinga,SP
b33e7c55446eabf8fe1a42d037ac7d6d,14850,pradopolis,SP
3b15288545f8928d3e65a8f949a28291,14940,ibitinga,SP
4869f7a5dfa277a7dca6462dcf3b52b2,14840,guariba,SP
094ced053e257ae8cae57205592d6712,14095,ribeirao preto,SP
a5cba26a62b8b4d0145b68b841e62e7f,87303,campo mourao,PR
1025f0e2d44d7041d6cf58b6550e0bfa,3204,sao paulo,SP
a1043bafd471dff536d0c462352beb48,37175,ilicinea,MG
f8db351d8c4c4c22c6835c19a46f01b0,13324,salto,SP
1ca7077d890b907f89be8c954a02686a,6506,santana de parnaiba,SP
89a51f50b8095ea78d5768f34c13a76f,71931,brasilia,DF
d566c37fa119d5e66c4e9052e83ee4ea,4131,sao paulo,SP
70a12e78e608ac31179aea7f8422044b,12327,jacarei,SP
66922902710d126a0e7d26b0e3805106,31842,belo horizonte,MG
1900267e848ceeba8fa32d80c1a5f5a8,14940,ibitinga,SP
63b9ae557efed31d1f7687917d248a8d,13720,sao jose do rio pardo,SP
